Nom du magasin;Date de la période;Code article;Libellé article;Qté;Achat HT facturation;Achat HT cession;Ventes HT;Ventes TTC;Marge HT;Marge %
"""ANGLET 0047""";14/07/2025;"""3701754708392""";"""Bouquet chaud""";1;13,67;13,67;17,26;18,99;3,59;20,80
"""ANGLET 0047""";14/07/2025;"""3701754708477""";"""Autre bouquet froid""";1;7,91;7,91;9,99;10,99;2,08;20,82
"""ANGLET 0047""";14/07/2025;"""3701754708484""";"""Autre bouquet froid""";4;28,76;28,76;36,33;39,96;7,57;20,84
"""ANGLET 0047""";14/07/2025;"""3701754708941""";"""Autre bouquet chaud""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";14/07/2025;"""3701754708972""";"""Bouquet chaud""";5;43,15;43,15;54,50;59,95;11,35;20,83
"""ANGLET 0047""";14/07/2025;"""3701754708996""";"""Autre bouquet chaud""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";14/07/2025;"""3701754709740""";"""Autre bouquet chaud""";1;8,63;8,63;10,90;11,99;2,27;20,83
"""ANGLET 0047""";14/07/2025;"""3701754710029""";"""Autre bouquet chaud""";1;25,19;25,19;31,81;34,99;6,62;20,81
"""ANGLET 0047""";14/07/2025;"""3701754710227""";"""Autre bouquet froid""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";14/07/2025;"""3701754711019""";"""Autres brassées""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";14/07/2025;"""3701754711163""";"""Autres bottes""";1;4,31;4,31;5,45;5,99;1,14;20,92
"""ANGLET 0047""";14/07/2025;"""3701754711460""";"""Bottes Mini-Œillet""";2;8,62;8,62;10,89;11,98;2,27;20,84
"""ANGLET 0047""";14/07/2025;"""3701754700174""";"""Autres Plantes fleuries""";2;4,30;4,30;5,44;5,98;1,14;20,96
"""ANGLET 0047""";14/07/2025;"""3701754701331""";"""Plantes vertes""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";14/07/2025;"""3701754704745""";"""Bromelia""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";14/07/2025;"""3701754705803""";"""Kalanchoe""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";14/07/2025;"""3701754705865""";"""Kalanchoe""";1;5,03;5,03;6,35;6,99;1,32;20,79
"""ANGLET 0047""";14/07/2025;"""3701754705902""";"""Kalanchoe""";1;3,59;3,59;4,54;4,99;0,95;20,93
"""ANGLET 0047""";14/07/2025;"""3701754707463""";"""Phalaenopsis""";1;17,99;17,99;22,72;24,99;4,73;20,82
"""ANGLET 0047""";14/07/2025;"""3701754707616""";"""Phalaenopsis""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";14/07/2025;"""3701754701607""";"""Succulente""";1;8,63;8,63;10,90;11,99;2,27;20,83
