Nom du magasin;Date de la période;Code article;Libellé article;Qté;Achat HT facturation;Achat HT cession;Ventes HT;Ventes TTC;Marge HT;Marge %
"""ANGLET 0047""";16/07/2025;"""3701754709207""";"""Bulle chaud""";1;17,99;17,99;22,72;24,99;4,73;20,82
"""ANGLET 0047""";16/07/2025;"""3701754708439""";"""Bouquet chaud""";3;32,37;32,37;40,88;44,97;8,51;20,82
"""ANGLET 0047""";16/07/2025;"""3701754708484""";"""Autre bouquet froid""";4;28,76;28,76;36,33;39,96;7,57;20,84
"""ANGLET 0047""";16/07/2025;"""3701754708996""";"""Autre bouquet chaud""";5;35,95;35,95;45,41;49,95;9,46;20,83
"""ANGLET 0047""";16/07/2025;"""3701754710227""";"""Autre bouquet froid""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";16/07/2025;"""3701754700006""";"""Bottes Rose""";1;4,31;4,31;5,45;5,99;1,14;20,92
"""ANGLET 0047""";16/07/2025;"""3701754700174""";"""Autres Plantes fleuries""";1;2,15;2,15;2,72;2,99;0,57;20,96
"""ANGLET 0047""";16/07/2025;"""3701754700471""";"""Autres Plantes fleuries""";2;10,06;10,06;12,71;13,98;2,65;20,85
"""ANGLET 0047""";16/07/2025;"""3701754707616""";"""Phalaenopsis""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";16/07/2025;"""3701754702031""";"""Cactée""";1;7,19;7,19;9,08;9,99;1,89;20,81
