Nom du magasin;Date de la période;Code article;Libellé article;Qté;Achat HT facturation;Achat HT cession;Ventes HT;Ventes TTC;Marge HT;Marge %
"""ANGLET 0047""";20/07/2025;"""3701754708484""";"""Autre bouquet froid""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";20/07/2025;"""3701754708996""";"""Autre bouquet chaud""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";20/07/2025;"""3701754700006""";"""Bottes Rose""";2;8,62;8,62;10,89;11,98;2,27;20,84
"""ANGLET 0047""";20/07/2025;"""3701754711507""";"""Bottes Santini""";4;17,24;17,24;21,78;23,96;4,54;20,84
"""ANGLET 0047""";20/07/2025;"""3701754705865""";"""Kalanchoe""";1;5,03;5,03;6,35;6,99;1,32;20,79
"""ANGLET 0047""";20/07/2025;"""3701754707616""";"""Phalaenopsis""";2;14,38;14,38;18,16;19,98;3,78;20,81
"""ANGLET 0047""";20/07/2025;"""3701754707142""";"""Rosier""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";20/07/2025;"""3701754707180""";"""Rosier""";1;4,31;4,31;5,45;5,99;1,14;20,92
"""ANGLET 0047""";20/07/2025;"""3701754707203""";"""Rosier""";1;2,87;2,87;3,63;3,99;0,76;20,94
