Nom du magasin;Date de la période;Code article;Libellé article;Qté;Achat HT facturation;Achat HT cession;Ventes HT;Ventes TTC;Marge HT;Marge %
"""ANGLET 0047""";18/07/2025;"""3701754708484""";"""Autre bouquet froid""";5;35,95;35,95;45,41;49,95;9,46;20,83
"""ANGLET 0047""";18/07/2025;"""3701754708996""";"""Autre bouquet chaud""";2;14,38;14,38;18,16;19,98;3,78;20,81
"""ANGLET 0047""";18/07/2025;"""3701754709740""";"""Autre bouquet chaud""";2;17,26;17,26;21,80;23,98;4,54;20,83
"""ANGLET 0047""";18/07/2025;"""3701754700006""";"""Bottes Rose""";1;4,31;4,31;5,45;5,99;1,14;20,92
"""ANGLET 0047""";18/07/2025;"""3701754712023""";"""Autres bottes""";3;21,57;21,57;27,25;29,97;5,68;20,84
"""ANGLET 0047""";18/07/2025;"""3701754700518""";"""Autres Plantes fleuries""";1;3,59;3,59;4,54;4,99;0,95;20,93
"""ANGLET 0047""";18/07/2025;"""3701754701331""";"""Plantes vertes""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";18/07/2025;"""3701754707616""";"""Phalaenopsis""";7;50,33;50,33;63,57;69,93;13,24;20,83
"""ANGLET 0047""";18/07/2025;"""3701754707203""";"""Rosier""";3;8,61;8,61;10,88;11,97;2,27;20,86
