Nom du magasin;Date de la période;Code article;Libellé article;Qté;Achat HT facturation;Achat HT cession;Ventes HT;Ventes TTC;Marge HT;Marge %
"""ANGLET 0047""";15/07/2025;"""3701754708460""";"""Bouquet froid""";1;8,63;8,63;10,90;11,99;2,27;20,83
"""ANGLET 0047""";15/07/2025;"""3701754708484""";"""Autre bouquet froid""";4;28,76;28,76;36,33;39,96;7,57;20,84
"""ANGLET 0047""";15/07/2025;"""3701754708941""";"""Autre bouquet chaud""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";15/07/2025;"""3701754708996""";"""Autre bouquet chaud""";6;43,14;43,14;54,49;59,94;11,35;20,83
"""ANGLET 0047""";15/07/2025;"""3701754709740""";"""Autre bouquet chaud""";1;8,63;8,63;10,90;11,99;2,27;20,83
"""ANGLET 0047""";15/07/2025;"""3701754700013""";"""Bottes Rose""";2;7,18;7,18;9,07;9,98;1,89;20,84
"""ANGLET 0047""";15/07/2025;"""3701754711019""";"""Autres brassées""";3;21,57;21,57;27,25;29,97;5,68;20,84
"""ANGLET 0047""";15/07/2025;"""3701754711392""";"""Autres bottes""";2;7,18;7,18;9,07;9,98;1,89;20,84
"""ANGLET 0047""";15/07/2025;"""3701754711460""";"""Bottes Mini-Œillet""";1;4,31;4,31;5,45;5,99;1,14;20,92
"""ANGLET 0047""";15/07/2025;"""3701754712054""";"""Autres brassées""";2;10,06;10,06;12,71;13,98;2,65;20,85
"""ANGLET 0047""";15/07/2025;"""3701754700327""";"""Plantes vertes""";2;7,18;7,18;9,07;9,98;1,89;20,84
"""ANGLET 0047""";15/07/2025;"""3701754700471""";"""Autres Plantes fleuries""";1;5,03;5,03;6,35;6,99;1,32;20,79
"""ANGLET 0047""";15/07/2025;"""3701754701331""";"""Plantes vertes""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";15/07/2025;"""3701754707616""";"""Phalaenopsis""";2;14,38;14,38;18,16;19,98;3,78;20,81
